api_id,endpoint,method,version,status_hint,auth_type,data_fields,has_pii,in_swagger,last_called_date,daily_avg_calls,created_date,last_modified,owner_git_user,team,environment,last_commit_msg,risk_score,deprecated_flag,classification,days_silent,severity,recommended_action,pii_fields_found,git_author,git_last_commit,git_message,ml_predicted_class,ml_confidence,ml_anomaly_score,ml_risk_score,ml_rule_agreement
UBI-API-0001,/api/v2/reports/approve,PUT,v3,active,api_key,ifsc_code|employee_id|email|dob,1,1,2026-05-01,9660,2024-09-28,2025-12-10,priya.iyer,Payments,dev,add rate limiting,38,0,Active,24,Medium,No action needed — healthy endpoint,dob,priya.iyer,2025-11-21,add rate limiting,Active,0.958,52.1,62.4,1
UBI-API-0002,/legacy/v1/neft/update,POST,v1,active,basic_auth,customer_id|balance|name|email,1,1,2026-05-12,7768,2023-08-09,2025-04-10,priya.iyer,Analytics,staging,update docs,35,0,Active,13,Medium,No action needed — healthy endpoint,balance,priya.iyer,2025-03-27,update docs,Active,0.983,33.9,53.4,1
UBI-API-0003,/internal/v1/credit-score/sync,GET,v3,borderline,mtls,interest_rate,0,1,2026-03-28,153,2022-05-08,2024-11-22,sneha.patel,Analytics,prod,add endpoint,10,0,Borderline,58,Low,Monitor closely — review with team within 7 days,,sneha.patel,2024-11-17,add endpoint,Borderline,0.8,40.9,46.4,1
UBI-API-0004,/api/v3/employees/create,PATCH,v1,active,none,loan_amount|aadhaar_number|email,1,1,2026-05-05,419,2023-04-13,2026-01-07,arjun.mehta,Analytics,prod,add rate limiting,62,0,Active,20,High,No action needed — healthy endpoint,aadhaar_number,arjun.mehta,2025-12-31,add rate limiting,Active,0.967,17.4,50.1,1
UBI-API-0005,/api/v1/neft/delete,POST,v2,zombie,none,nominee_details|customer_id,1,1,2025-10-14,0,2025-03-01,2025-10-30,rohit.verma,Security,staging,add endpoint,77,1,Zombie,223,Critical,Immediate decommission — high-risk stale endpoint,nominee_details,rohit.verma,2025-10-02,add endpoint,Zombie,0.975,95.1,92.2,1
UBI-API-0006,/api/v2/credit-score/sync,PATCH,legacy,zombie,jwt,interest_rate|aadhaar_number,1,1,2025-10-22,0,2022-11-08,2024-02-11,sneha.patel,Loans,prod,refactor logic,47,0,Zombie,215,Medium,"Schedule decommission — raise Jira ticket, notify owner",aadhaar_number,sneha.patel,2024-01-31,refactor logic,Zombie,0.933,10.5,42.6,1
UBI-API-0007,/api/v1/reports/sync,POST,v3,active,basic_auth,account_number|customer_id,1,1,2026-05-22,4662,2024-05-06,2025-01-04,ananya.sharma,Payments,prod,initial commit,38,0,Active,3,Medium,No action needed — healthy endpoint,account_number,ananya.sharma,2024-12-10,initial commit,Active,0.95,9.2,40.7,1
UBI-API-0008,/legacy/v1/aadhaar/sync,POST,v3,zombie,mtls,nominee_details|credit_score|pan_number|upi_id|branch_id,1,1,2024-12-16,0,2023-10-08,2025-01-28,deepak.nair,Core Banking,prod,merge feature branch,60,1,Zombie,525,High,"Schedule decommission — raise Jira ticket, notify owner",pan_number|nominee_details|credit_score,deepak.nair,2025-01-07,merge feature branch,Zombie,0.983,70.7,76.8,1
UBI-API-0009,/api/v1/transactions/list,DELETE,legacy,active,mtls,name|pan_number|aadhaar_number,1,1,2026-05-19,4192,2023-01-10,2025-08-14,deepak.nair,Digital Channels,staging,fix auth bug,30,0,Active,6,Medium,No action needed — healthy endpoint,pan_number|aadhaar_number,deepak.nair,2025-07-18,fix auth bug,Active,0.992,41.5,56.5,1
UBI-API-0010,/api/v1/ifsc/sync,GET,v1,shadow,none,account_number|customer_id|pan_number|phone|branch_id,1,0,2026-05-13,25,2023-08-04,2023-08-06,vivek.gupta,Loans,prod,merge feature branch,84,0,Shadow,12,Critical,"Immediate audit — undocumented endpoint, document or block",pan_number|account_number,vivek.gupta,2023-07-17,merge feature branch,Shadow,0.917,60.8,74.7,1
UBI-API-0011,/api/v3/ifsc/delete,DELETE,v3,zombie,mtls,credit_score|email|aadhaar_number|address|interest_rate,1,1,2025-12-26,0,2021-09-29,2025-01-07,ananya.sharma,Digital Channels,dev,initial commit,49,0,Zombie,150,Medium,"Schedule decommission — raise Jira ticket, notify owner",aadhaar_number|credit_score,ananya.sharma,2024-12-17,initial commit,Zombie,0.533,44.6,48.1,1
UBI-API-0012,/internal/v1/kyc/list,PATCH,v2,active,none,customer_id|upi_id,0,1,2026-05-06,1443,2024-10-18,2024-11-27,deepak.nair,Loans,prod,update docs,49,0,Active,19,Medium,No action needed — healthy endpoint,,deepak.nair,2024-11-11,update docs,Active,0.992,26.5,52.8,1
UBI-API-0013,/legacy/v1/reports/fetch,PATCH,legacy,zombie,oauth2,aadhaar_number|transaction_id|pan_number,1,1,2025-04-05,0,2021-11-14,2021-12-03,sneha.patel,Loans,prod,deprecation notice added,54,0,Zombie,415,High,"Schedule decommission — raise Jira ticket, notify owner",aadhaar_number|pan_number,sneha.patel,2021-11-25,deprecation notice added,Zombie,0.992,14.2,47.7,1
UBI-API-0014,/internal/v1/transactions/get,PATCH,v3,zombie,api_key,dob|email|amount|customer_id|pan_number,1,1,2024-06-06,0,2025-02-17,2025-11-14,arjun.mehta,KYC & Compliance,prod,refactor logic,74,0,Zombie,718,High,"Schedule decommission — raise Jira ticket, notify owner",pan_number|dob,arjun.mehta,2025-10-20,refactor logic,Zombie,0.983,36.9,62.8,1
