api_id,endpoint,method,version,status_hint,auth_type,data_fields,has_pii,in_swagger,last_called_date,daily_avg_calls,created_date,last_modified,owner_git_user,team,environment,last_commit_msg,risk_score,deprecated_flag
UBI-API-0001,/api/v2/reports/approve,PUT,v3,active,api_key,ifsc_code|employee_id|email|dob,1,1,2026-05-01,9660,2024-09-28,2025-12-10,priya.iyer,Payments,dev,add rate limiting,65,0
UBI-API-0002,/legacy/v1/neft/update,POST,v1,active,basic_auth,customer_id|balance|name|email,1,1,2026-05-12,7768,2023-08-09,2025-04-10,priya.iyer,Analytics,staging,update docs,60,0
UBI-API-0003,/internal/v1/credit-score/sync,GET,v3,borderline,mtls,interest_rate,0,1,2026-03-28,153,2022-05-08,2024-11-22,sneha.patel,Analytics,prod,add endpoint,0,0
UBI-API-0004,/api/v3/employees/create,PATCH,v1,active,none,loan_amount|aadhaar_number|email,1,1,2026-05-05,419,2023-04-13,2026-01-07,arjun.mehta,Analytics,prod,add rate limiting,80,0
UBI-API-0005,/api/v1/neft/delete,POST,v2,zombie,none,nominee_details|customer_id,1,1,2025-10-14,0,2025-03-01,2025-10-30,rohit.verma,Security,staging,add endpoint,100,1
UBI-API-0006,/api/v2/credit-score/sync,PATCH,legacy,zombie,jwt,interest_rate|aadhaar_number,1,1,2025-10-22,0,2022-11-08,2024-02-11,sneha.patel,Loans,prod,refactor logic,70,0
UBI-API-0007,/api/v1/reports/sync,POST,v3,active,basic_auth,account_number|customer_id,1,1,2026-05-22,4662,2024-05-06,2025-01-04,ananya.sharma,Payments,prod,initial commit,60,0
UBI-API-0008,/legacy/v1/aadhaar/sync,POST,v3,zombie,mtls,nominee_details|credit_score|pan_number|upi_id|branch_id,1,1,2024-12-16,0,2023-10-08,2025-01-28,deepak.nair,Core Banking,prod,merge feature branch,60,1
UBI-API-0009,/api/v1/transactions/list,DELETE,legacy,active,mtls,name|pan_number|aadhaar_number,1,1,2026-05-19,4192,2023-01-10,2025-08-14,deepak.nair,Digital Channels,staging,fix auth bug,40,0
UBI-API-0010,/api/v1/ifsc/sync,GET,v1,shadow,none,account_number|customer_id|pan_number|phone|branch_id,1,0,2026-05-13,25,2023-08-04,2023-08-06,vivek.gupta,Loans,prod,merge feature branch,95,0
